playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0089,Lanus,#0008,Tepra,5,2,1,0
#0078,Zuter,#0036,Tenia,5,0,3,0
#0039,Cuvis,#0108,Getis,5,1,2,0
#0066,Ferilia,#0100,Turilia v28.53,5,1,2,0
#0064,Zoclite,#0117,Cethea,5,3,0,0
#0059,Qewei,#0063,Logawa,5,0,3,0
#0029,Nehiri,#0112,Matania,5,0,3,0
#0003,Tubos,#0065,Huthea,5,1,2,0
#0042,Potera,#0076,Qater,5,0,3,0
#0058,Guthea,#0024,Wehines Mk L,5,1,2,0
#0120,Waria v41.6,#0096,Funerth,5,0,3,0
#0088,Julea,#0060,Tonides,5,3,0,0
#0073,Vophus,#0098,Suria Mk XCVII,5,1,2,0
#0070,Qunus,#0050,Dovis v46.22,5,3,0,0
#0054,Halea v22.63,#0010,Xocury,5,3,0,0
#0068,Fucury,#0018,Buwei,5,1,2,0
#0032,Later,#0104,Nutera,5,3,0,0
#0044,Wunus,#0084,Iuzuno,5,3,0,0
#0012,Yutera Mk LXXXIV,#0115,Lethea Mk XCVII,5,0,3,0
#0046,Henerth Mk VIII,#0033,Lacarro,5,2,1,0
#0067,Rozuno,#0016,Purilia Mk XXXV,5,3,0,0
#0047,Futis,#0086,Peturn,5,2,1,0
#0090,Gohiri,#0105,Nalea v36.5,5,3,0,0
#0107,Danov,#0121,Sugantu,5,3,0,0
#0075,Jenides,#0038,Selia,5,3,0,0
#0023,Manope Mk XXXVII,#0040,Wuter Mk XVII,5,1,2,0
#0101,Fabos,#0006,Sophus,5,1,2,0
#0072,Xulia,#0045,Futer,5,3,0,0
#0011,Wuwei v12.30,#0004,Pecury,5,2,1,0
#0051,Xaturn,#0093,Megantu,5,0,3,0
#0025,Iapra,#0009,Relia v12.42,5,2,1,0
#0122,Wanope,#0102,Huyama,6,1,2,0
#0019,Iavis v40.72,#0081,Wustea Mk LXXXVI,6,2,1,0
#0028,Senus Mk XLIX,#0056,Wahiri Mk LXXIV,6,1,2,0
#0110,Keclite,#0083,Hunus v28.9,6,2,1,0
#0017,Wonus,#0082,Qaturn,6,1,2,0
#0103,Xotune v29.73,#0094,Monus,6,2,1,0
#0030,Yenus,#0055,Sulara v35.90,6,2,1,0
#0091,Qalea,#0085,Fupra,6,3,0,0
#0049,Ronus v28.11,#0109,Ioliv,6,3,0,0
#0074,Petania Mk LXXXVII,#0114,Negantu,6,2,1,0
#0013,Tewei v11.69,#0035,Haruta Mk XLIX,6,0,3,0
#0037,Decarro,#0041,Toliv v6.73,6,3,0,0
#0026,Jolea,#0036,Tenia,6,1,2,0
#0021,Selea,#0027,Yutania,6,2,1,0
#0113,Kunope,#0080,Fuwei,6,2,1,0
#0062,Nanov,#0087,Doyama Mk VII,6,1,2,0
#0043,Dayama,#0001,Gaphus,6,1,2,0
#0099,Vathea,#0088,Julea,6,1,2,0
#0002,Nonia,#0089,Lanus,6,2,1,0
#0007,Nostea,#0095,Rugawa,6,0,3,0
#0015,Honov,#0106,Jatania,6,0,3,0
#0108,Getis,#0096,Funerth,6,0,3,0
#0119,Xunus Mk XII,#0022,Yocarro Mk XLVII,6,3,0,0
#0071,Secarro,#0063,Logawa,6,1,2,0
#0118,Pucarro,#0065,Huthea,6,3,0,0
#0111,Herilia v14.82,#0076,Qater,6,2,1,0
#0100,Turilia v28.53,#0079,Dutune,6,1,2,0
#0031,Ianov,#0048,Yayama,6,2,1,0
#0024,Wehines Mk L,#0064,Zoclite,6,1,2,0
#0116,Soria,#0112,Matania,6,3,0,0
#0061,Wuturn v18.96,#0040,Wuter Mk XVII,6,3,0,0
#0003,Tubos,#0098,Suria Mk XCVII,6,3,0,0
#0057,Ienov,#0039,Cuvis,6,2,1,0
#0058,Guthea,#0069,Bonope,6,3,0,0
