uid,number,squadron,highScore,rank,width,height
07wArS,#0010,Squadron Xocury,0,0,720,720
Scb9oH,#0010,Squadron Xocury,0,0,720,720
wLgByk,#0010,Squadron Xocury,23800,0,720,720
R2XCMV,#0011,Squadron Wuwei v12.30,43100,1,720,720
pgYBUk,#0011,Squadron Wuwei v12.30,15000,0,720,720
Km8pWl,#0011,Squadron Wuwei v12.30,73100,2,720,720
hHZa1N,#0011,Squadron Wuwei v12.30,52800,1,720,720
h711tQ,#0011,Squadron Wuwei v12.30,92400,3,720,720
4G1tAZ,#0012,Squadron Yutera Mk LXXXIV,0,0,720,720
mbNQFt,#0012,Squadron Yutera Mk LXXXIV,9100,0,720,720
NuXgri,#0012,Squadron Yutera Mk LXXXIV,18800,0,720,720
ZfSOQF,#0012,Squadron Yutera Mk LXXXIV,4300,0,720,720
s32Yp8,#0012,Squadron Yutera Mk LXXXIV,50000,1,720,720
d05VAJ,#0013,Squadron Tewei v11.69,288200,9,720,720
ndOAyV,#0013,Squadron Tewei v11.69,102700,3,720,720
2naeDT,#0013,Squadron Tewei v11.69,627400,19,720,720
IBiXyR,#0013,Squadron Tewei v11.69,113600,3,720,720
HhNVxj,#0013,Squadron Tewei v11.69,1247900,38,720,720
OVnUcY,#0014,Squadron Qewei Mk XCV,10300,0,720,720
25VpkE,#0014,Squadron Qewei Mk XCV,17800,0,720,720
Qjsk8g,#0014,Squadron Qewei Mk XCV,14800,0,720,720
adpTXl,#0014,Squadron Qewei Mk XCV,9000,0,720,720
aFzWmT,#0014,Squadron Qewei Mk XCV,4200,0,720,720
4Bg2aI,#0015,Squadron Honov,98100,3,720,720
WAVFSQ,#0015,Squadron Honov,63800,2,720,720
RjC729,#0015,Squadron Honov,328600,10,720,720
5UN72x,#0015,Squadron Honov,377900,12,720,720
mTK02s,#0015,Squadron Honov,68500,2,720,720
saeV71,#0016,Squadron Purilia Mk XXXV,13300,0,720,720
9K2vOM,#0016,Squadron Purilia Mk XXXV,14500,0,720,720
K36bFX,#0016,Squadron Purilia Mk XXXV,93400,3,720,720
xkpIAI,#0016,Squadron Purilia Mk XXXV,14600,0,720,720
GwoCYJ,#0016,Squadron Purilia Mk XXXV,73500,2,720,720
8M9c5i,#0017,Squadron Wonus,588900,18,720,720
XkZpKi,#0017,Squadron Wonus,345200,11,720,720
oevdWJ,#0017,Squadron Wonus,609900,19,720,720
HMbut5,#0017,Squadron Wonus,580300,18,720,720
S1lcz7,#0017,Squadron Wonus,566000,18,720,720
reGKcZ,#0018,Squadron Buwei,9000,0,720,720
ehNfaJ,#0018,Squadron Buwei,74000,2,720,720
CM3rci,#0018,Squadron Buwei,112900,3,720,720
LoEn8k,#0018,Squadron Buwei,14800,0,720,720
52qpgt,#0018,Squadron Buwei,58700,2,720,720
Qxq8Yo,#0019,Squadron Iavis v40.72,654700,20,720,720
hTZvbS,#0019,Squadron Iavis v40.72,620200,19,720,720
VSOpxe,#0019,Squadron Iavis v40.72,1257100,38,720,720
6symJL,#0019,Squadron Iavis v40.72,1273100,39,720,720
LZeZoS,#0019,Squadron Iavis v40.72,609200,19,720,720
7IvgVb,#0020,Squadron Humia,77700,2,720,720
Fhu8GY,#0020,Squadron Humia,4500,0,720,720
aQ6r96,#0020,Squadron Humia,20500,0,720,720
ySXoxD,#0020,Squadron Humia,168900,5,720,720
2YnPIt,#0020,Squadron Humia,67800,2,720,720
4cCKel,#0021,Squadron Selea,604800,19,720,720
LFg7nq,#0021,Squadron Selea,66200,2,720,720
XwldFE,#0021,Squadron Selea,614300,19,720,720
13LuaQ,#0021,Squadron Selea,323400,10,720,720
3mz4oT,#0021,Squadron Selea,103300,3,720,720
QCtErt,#0022,Squadron Yocarro Mk XLVII,78500,2,720,720
Zz1MsO,#0022,Squadron Yocarro Mk XLVII,98600,3,720,720
jVnjtL,#0022,Squadron Yocarro Mk XLVII,14700,0,720,720
fobFzX,#0022,Squadron Yocarro Mk XLVII,6000,0,720,720
tsKr0i,#0022,Squadron Yocarro Mk XLVII,84800,2,720,720
E5npbw,#0023,Squadron Manope Mk XXXVII,4200,0,720,720
5v7CqA,#0023,Squadron Manope Mk XXXVII,13300,0,720,720
hDYOUv,#0023,Squadron Manope Mk XXXVII,107900,3,720,720
zhmGfq,#0023,Squadron Manope Mk XXXVII,13600,0,720,720
82o0lv,#0023,Squadron Manope Mk XXXVII,13000,0,720,720
9nuKFs,#0024,Squadron Wehines Mk L,19100,0,720,720
OmwSW3,#0024,Squadron Wehines Mk L,44800,1,720,720
7RWdjy,#0024,Squadron Wehines Mk L,94000,3,720,720
dv8Bmt,#0024,Squadron Wehines Mk L,113600,3,720,720
4rBQwe,#0024,Squadron Wehines Mk L,55200,1,720,720
NBB4FO,#0025,Squadron Iapra,97500,3,720,720
dZRis4,#0025,Squadron Iapra,266400,8,720,720
mcv170,#0025,Squadron Iapra,14600,0,720,720
cvkrHj,#0025,Squadron Iapra,98000,3,720,720
bem9PW,#0025,Squadron Iapra,4800,0,720,720
hAtvdn,#0026,Squadron Jolea,16000,0,720,720
VQrgmy,#0026,Squadron Jolea,42200,1,720,720
KcAVZr,#0026,Squadron Jolea,9300,0,720,720
qrGEaB,#0026,Squadron Jolea,271700,8,720,720
OO9qak,#0026,Squadron Jolea,234300,7,720,720
c21BZY,#0027,Squadron Yutania,19000,0,720,720
t2NtX1,#0027,Squadron Yutania,103200,3,720,720
7X03Nx,#0027,Squadron Yutania,312700,10,720,720
aJ3wYx,#0027,Squadron Yutania,63800,2,720,720
JUvRq2,#0027,Squadron Yutania,88300,3,720,720
hxfcg3,#0028,Squadron Senus Mk XLIX,13300,0,720,720
oWdfFz,#0028,Squadron Senus Mk XLIX,621400,19,720,720
pHflwr,#0028,Squadron Senus Mk XLIX,14500,0,720,720
Y4typ7,#0028,Squadron Senus Mk XLIX,102700,3,720,720
N0tz7i,#0028,Squadron Senus Mk XLIX,109500,3,720,720
