uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
Tepra vs Iapra,#0025,Iapra,0,-1,5,0,0,763,1600,900
Tepra vs Iapra,#0008,Tepra,0,-1,4,0,0,1083,1600,900
Tepra vs Iapra,#0025,Iapra,0,1,6,90,2,1083,1600,900
Vathea vs Zostea,#0002,Vathea,0,1,6,37,1,527,1600,900
Vathea vs Zostea,#0003,Zostea,0,-1,5,0,0,527,1600,900
Vathea vs Zostea,#0002,Vathea,0,-1,3,0,0,379,1600,900
Vathea vs Zostea,#0003,Zostea,0,1,6,207,3,379,1600,900
Vathea vs Zostea,#0002,Vathea,0,-1,3,0,0,344,1600,900
Vathea vs Zostea,#0003,Zostea,0,1,6,73,3,344,1600,900
Yutera Mk LXXXIV vs Yayama,#0012,Yutera Mk LXXXIV,0,-1,1,0,0,426,1600,900
Yutera Mk LXXXIV vs Yayama,#0001,Yayama,0,1,6,192,5,426,1600,900
Yutera Mk LXXXIV vs Yayama,#0012,Yutera Mk LXXXIV,0,-1,1,0,0,350,1600,900
Yutera Mk LXXXIV vs Yayama,#0001,Yayama,0,1,6,248,5,350,1600,900
Yutera Mk LXXXIV vs Yayama,#0012,Yutera Mk LXXXIV,0,-1,3,0,0,253,1600,900
Yutera Mk LXXXIV vs Yayama,#0001,Yayama,0,1,6,292,3,253,1600,900
Foter vs Ronus v28.11,#0001,Foter,0,1,6,152,3,372,1600,900
Foter vs Ronus v28.11,#0001,Ronus v28.11,0,-1,3,0,0,372,1600,900
Foter vs Ronus v28.11,#0001,Foter,0,1,6,34,1,1005,1600,900
Foter vs Ronus v28.11,#0001,Ronus v28.11,0,-1,5,0,0,1005,1600,900
Foter vs Ronus v28.11,#0001,Foter,0,-1,4,0,0,542,1600,900
Foter vs Ronus v28.11,#0001,Ronus v28.11,0,1,6,173,2,542,1600,900
Xaturn vs Tubos,#0001,Xaturn,0,-1,4,0,0,622,1600,900
Xaturn vs Tubos,#0003,Tubos,0,1,6,195,2,622,1600,900
Xaturn vs Tubos,#0001,Xaturn,0,-1,1,0,0,439,1600,900
Xaturn vs Tubos,#0003,Tubos,0,1,6,432,5,439,1600,900
Xaturn vs Tubos,#0001,Xaturn,0,-1,0,0,0,711,1600,900
Xaturn vs Tubos,#0003,Tubos,0,1,6,350,6,711,1600,900
Suria Mk XCVII vs Iavis v40.72,#0001,Suria Mk XCVII,0,-1,2,0,0,361,1600,900
Suria Mk XCVII vs Iavis v40.72,#0019,Iavis v40.72,0,1,6,272,4,361,1600,900
Suria Mk XCVII vs Iavis v40.72,#0001,Suria Mk XCVII,0,-1,3,0,0,269,1600,900
Suria Mk XCVII vs Iavis v40.72,#0019,Iavis v40.72,0,1,6,302,3,269,1600,900
Suria Mk XCVII vs Iavis v40.72,#0001,Suria Mk XCVII,0,-1,2,0,0,241,1600,900
Suria Mk XCVII vs Iavis v40.72,#0019,Iavis v40.72,0,1,6,257,4,241,1600,900
Vucarro v33.11 vs Nanov,#0002,Vucarro v33.11,0,-1,2,0,0,624,1600,900
Vucarro v33.11 vs Nanov,#0001,Nanov,0,1,6,198,4,624,1600,900
Vucarro v33.11 vs Nanov,#0002,Vucarro v33.11,0,-1,2,0,0,419,1600,900
Vucarro v33.11 vs Nanov,#0001,Nanov,0,1,6,183,4,419,1600,900
Vucarro v33.11 vs Nanov,#0002,Vucarro v33.11,0,-1,4,0,0,601,1600,900
Vucarro v33.11 vs Nanov,#0001,Nanov,0,1,6,260,2,601,1600,900
Lacarro vs Nehiri,#0001,Lacarro,0,-1,2,0,0,279,1600,900
Lacarro vs Nehiri,#0001,Nehiri,0,1,6,268,4,279,1600,900
Lacarro vs Nehiri,#0001,Lacarro,0,-1,3,0,0,430,1600,900
Lacarro vs Nehiri,#0001,Nehiri,0,1,6,53,3,430,1600,900
Lacarro vs Nehiri,#0001,Lacarro,0,1,6,100,5,383,1600,900
Lacarro vs Nehiri,#0001,Nehiri,0,-1,1,0,0,383,1600,900
Manope Mk XXXVII vs Wonus,#0023,Manope Mk XXXVII,0,-1,1,0,0,319,1600,900
Manope Mk XXXVII vs Wonus,#0018,Wonus,0,1,6,514,5,319,1600,900
Manope Mk XXXVII vs Wonus,#0023,Manope Mk XXXVII,0,-1,3,0,0,397,1600,900
Manope Mk XXXVII vs Wonus,#0018,Wonus,0,1,6,281,3,397,1600,900
Manope Mk XXXVII vs Wonus,#0023,Manope Mk XXXVII,0,-1,1,0,0,360,1600,900
Manope Mk XXXVII vs Wonus,#0018,Wonus,0,1,6,357,5,360,1600,900
Fuwei vs Senus Mk XLIX,#0002,Fuwei,0,1,6,50,1,972,1600,900
Fuwei vs Senus Mk XLIX,#0001,Senus Mk XLIX,0,-1,5,0,0,972,1600,900
Fuwei vs Senus Mk XLIX,#0002,Fuwei,0,-1,4,0,0,354,1600,900
Fuwei vs Senus Mk XLIX,#0001,Senus Mk XLIX,0,1,6,49,2,354,1600,900
Fuwei vs Senus Mk XLIX,#0002,Fuwei,0,-1,1,0,0,442,1600,900
Fuwei vs Senus Mk XLIX,#0001,Senus Mk XLIX,0,1,6,239,5,442,1600,900
Halea v22.63 vs Wunus,#0001,Halea v22.63,0,-1,3,0,0,497,1600,900
Halea v22.63 vs Wunus,#0001,Wunus,0,1,6,222,3,497,1600,900
Halea v22.63 vs Wunus,#0001,Halea v22.63,0,-1,4,0,0,336,1600,900
Halea v22.63 vs Wunus,#0001,Wunus,0,1,6,132,2,336,1600,900
Halea v22.63 vs Wunus,#0001,Halea v22.63,0,1,6,82,3,328,1600,900
Halea v22.63 vs Wunus,#0001,Wunus,0,-1,3,0,0,328,1600,900
Guthea vs Wustea Mk LXXXVI,#0002,Guthea,0,-1,0,0,0,395,1600,900
Guthea vs Wustea Mk LXXXVI,#0003,Wustea Mk LXXXVI,0,1,6,533,6,395,1600,900
Guthea vs Wustea Mk LXXXVI,#0002,Guthea,0,1,6,74,2,983,1600,900
Guthea vs Wustea Mk LXXXVI,#0003,Wustea Mk LXXXVI,0,-1,4,0,0,983,1600,900
Guthea vs Wustea Mk LXXXVI,#0002,Guthea,0,-1,3,0,0,473,1600,900
Guthea vs Wustea Mk LXXXVI,#0003,Wustea Mk LXXXVI,0,1,6,213,3,473,1600,900
Purilia Mk XXXV vs Hunus v28.9,#0016,Purilia Mk XXXV,0,-1,5,0,0,682,1600,900
Purilia Mk XXXV vs Hunus v28.9,#0001,Hunus v28.9,0,1,6,87,1,682,1600,900
Purilia Mk XXXV vs Hunus v28.9,#0016,Purilia Mk XXXV,0,-1,2,0,0,369,1600,900
Purilia Mk XXXV vs Hunus v28.9,#0001,Hunus v28.9,0,1,6,299,4,369,1600,900
Purilia Mk XXXV vs Hunus v28.9,#0016,Purilia Mk XXXV,0,-1,4,0,0,580,1600,900
Purilia Mk XXXV vs Hunus v28.9,#0001,Hunus v28.9,0,1,6,59,2,580,1600,900
Buwei vs Wehines Mk L,#0017,Buwei,0,1,6,49,2,604,1600,900
Buwei vs Wehines Mk L,#0024,Wehines Mk L,0,-1,4,0,0,604,1600,900
Buwei vs Wehines Mk L,#0017,Buwei,0,1,6,351,4,490,1600,900
Buwei vs Wehines Mk L,#0024,Wehines Mk L,0,-1,2,0,0,490,1600,900
Buwei vs Wehines Mk L,#0017,Buwei,0,-1,4,0,0,534,1600,900
Buwei vs Wehines Mk L,#0024,Wehines Mk L,0,1,6,86,2,534,1600,900
Rugawa vs Ianov,#0001,Rugawa,0,1,6,60,2,654,1600,900
Rugawa vs Ianov,#0001,Ianov,0,-1,4,0,0,654,1600,900
Rugawa vs Ianov,#0001,Rugawa,0,-1,2,0,0,396,1600,900
