uid,number,squadron,name,value,weapon,gimbal,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
Pecury vs Nonia,#0004,Pecury,Qaclite,0.417,Pulse Rifle,G90,SC800,T15,S4,C100,75,0,57,0,222.34,275,1600,900
Pecury vs Nonia,#0004,Pecury,Ruwei Mk XC,0.411,Pulse Rifle,G240,SC500,T10,S6,C125,100,-3,72,0,255.32,275,1600,900
Pecury vs Nonia,#0002,Nonia,Nonia,0.656,Fusion Cannon,G360,SC600,T12,S10,C175,150,28,168,2,,275,1600,900
Pecury vs Nonia,#0002,Nonia,Henia v33.30,0.644,Pulse Rifle,G360,SC600,T18,S15,C100,75,14,72,0,,275,1600,900
Pecury vs Nonia,#0002,Nonia,Westea v48.19,0.639,Pulse Rifle,G240,SC600,T20,S6,C175,150,81,63,1,,275,1600,900
Pecury vs Nonia,#0002,Nonia,Quter,0.606,Arc Gun,G240,SC500,T12,S8,C175,150,117,89,1,,275,1600,900
Pecury vs Nonia,#0002,Nonia,Vamia,0.594,Fusion Cannon,G240,SC800,T12,S6,C150,125,24,152,2,,275,1600,900
Pecury vs Nonia,#0002,Nonia,Westea Mk LX,0.483,Pulse Rifle,G90,SC400,T10,S12,C200,200,124,45,0,,275,1600,900
Cotania vs Sophus,#0005,Cotania,Cotania,0.750,Plasma Cannon,G180,SC800,T12,S12,C150,125,-3,150,1,242.83,411,1600,900
Cotania vs Sophus,#0005,Cotania,Qotania,0.611,Pulse Rifle,G180,SC400,T20,S10,C175,150,-1,90,0,411.03,411,1600,900
Cotania vs Sophus,#0005,Cotania,Ioyama Mk XCVII,0.494,Phase Rifle,G120,SC300,T10,S8,C175,150,-2,96,0,149.05,411,1600,900
Cotania vs Sophus,#0005,Cotania,Juclite v19.94,0.478,Arc Gun,G120,SC400,T12,S12,C100,75,-2,93,1,271.99,411,1600,900
Cotania vs Sophus,#0005,Cotania,Jecury v8.29,0.355,Fusion Cannon,G180,SC400,T10,S6,C100,75,-8,64,0,101.65,411,1600,900
Cotania vs Sophus,#0005,Cotania,Lerilia,0.334,Pulse Rifle,G60,SC300,T12,S10,C125,100,-6,27,0,113.76,411,1600,900
Cotania vs Sophus,#0006,Sophus,Sophus,0.667,Plasma Cannon,G240,SC800,T15,S4,C125,100,-11,140,2,159.75,411,1600,900
Cotania vs Sophus,#0006,Sophus,Nerilia,0.628,Phase Rifle,G180,SC600,T12,S12,C125,100,-6,112,0,175.08,411,1600,900
Cotania vs Sophus,#0006,Sophus,Muthea,0.545,Pulse Rifle,G180,SC500,T15,S8,C175,150,54,60,0,,411,1600,900
Cotania vs Sophus,#0006,Sophus,Ketis,0.539,Arc Gun,G60,SC800,T10,S10,C150,125,33,259,3,,411,1600,900
Cotania vs Sophus,#0006,Sophus,Puliv,0.467,Arc Gun,G60,SC300,T18,S10,C125,100,80,36,0,,411,1600,900
Cotania vs Sophus,#0006,Sophus,Wophus,0.395,Pulse Rifle,G120,SC300,T12,S8,C150,125,30,90,1,,411,1600,900
Gaphus vs Nonia,#0001,Gaphus,Gaphus,0.756,Plasma Cannon,G180,SC800,T18,S10,C125,100,-7,150,0,224.83,365,1600,900
Gaphus vs Nonia,#0001,Gaphus,Woyama v47.20,0.711,Fusion Cannon,G240,SC800,T15,S12,C150,125,-1,176,2,248.42,365,1600,900
Gaphus vs Nonia,#0001,Gaphus,Samia,0.695,Plasma Cannon,G360,SC800,T18,S4,C100,75,0,80,0,114.61,365,1600,900
Gaphus vs Nonia,#0001,Gaphus,Detania Mk LIV,0.683,Phase Rifle,G240,SC400,T20,S6,C175,150,-4,80,0,100.43,365,1600,900
Gaphus vs Nonia,#0001,Gaphus,Meruta v45.20,0.678,Pulse Rifle,G360,SC800,T15,S10,C150,125,0,129,0,311.72,365,1600,900
Gaphus vs Nonia,#0001,Gaphus,Ganov v44.95,0.611,Phase Rifle,G60,SC600,T15,S12,C150,125,0,240,3,364.68,365,1600,900
Gaphus vs Nonia,#0002,Nonia,Nonia,0.656,Fusion Cannon,G360,SC600,T12,S10,C175,150,-13,184,1,292.07,365,1600,900
Gaphus vs Nonia,#0002,Nonia,Henia v33.30,0.644,Pulse Rifle,G360,SC600,T18,S15,C100,75,0,12,0,40.24,365,1600,900
Gaphus vs Nonia,#0002,Nonia,Westea v48.19,0.639,Pulse Rifle,G240,SC600,T20,S6,C175,150,-9,39,0,127.35,365,1600,900
Gaphus vs Nonia,#0002,Nonia,Quter,0.606,Arc Gun,G240,SC500,T12,S8,C175,150,-15,248,2,342.72,365,1600,900
Gaphus vs Nonia,#0002,Nonia,Vamia,0.594,Fusion Cannon,G240,SC800,T12,S6,C150,125,-1,136,2,247.87,365,1600,900
Gaphus vs Nonia,#0002,Nonia,Westea Mk LX,0.483,Pulse Rifle,G90,SC400,T10,S12,C200,200,33,93,1,,365,1600,900
Tubos vs Sophus,#0003,Tubos,Tubos,0.633,Arc Gun,G90,SC600,T10,S15,C200,200,63,234,2,,343,1600,900
Tubos vs Sophus,#0003,Tubos,Lonerth,0.633,Fusion Cannon,G120,SC700,T12,S10,C200,200,8,104,1,,343,1600,900
Tubos vs Sophus,#0003,Tubos,Faliv,0.561,Plasma Cannon,G90,SC600,T20,S4,C100,75,-5,160,0,291.23,343,1600,900
Tubos vs Sophus,#0003,Tubos,Gegantu,0.550,Fusion Cannon,G180,SC500,T18,S6,C150,125,51,96,1,,343,1600,900
Tubos vs Sophus,#0003,Tubos,Fonia,0.539,Pulse Rifle,G120,SC400,T12,S15,C175,150,30,84,1,,343,1600,900
Tubos vs Sophus,#0003,Tubos,Gomia,0.461,Pulse Rifle,G90,SC400,T20,S8,C125,100,37,42,1,,343,1600,900
Tubos vs Sophus,#0006,Sophus,Sophus,0.667,Plasma Cannon,G240,SC800,T15,S4,C125,100,-6,140,0,167.15,343,1600,900
Tubos vs Sophus,#0006,Sophus,Nerilia,0.628,Phase Rifle,G180,SC600,T12,S12,C125,100,-2,192,1,343.48,343,1600,900
Tubos vs Sophus,#0006,Sophus,Muthea,0.545,Pulse Rifle,G180,SC500,T15,S8,C175,150,-1,102,0,260.37,343,1600,900
Tubos vs Sophus,#0006,Sophus,Ketis,0.539,Arc Gun,G60,SC800,T10,S10,C150,125,-1,91,0,125.25,343,1600,900
Tubos vs Sophus,#0006,Sophus,Puliv,0.467,Arc Gun,G60,SC300,T18,S10,C125,100,-7,75,0,333.71,343,1600,900
Tubos vs Sophus,#0006,Sophus,Wophus,0.395,Pulse Rifle,G120,SC300,T12,S8,C150,125,-3,66,0,202.94,343,1600,900
Pecury vs Cotania,#0004,Pecury,Pecury,0.655,Plasma Cannon,G240,SC400,T20,S4,C150,125,0,180,0,391.27,391,1600,900
