uid,squadron,name,value,weapon,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,33,60,0,,175,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,173,36,1,,175,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,186,120,3,,175,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,58,120,0,,175,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,38,128,1,,175,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,20,128,1,,175,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,90,70,0,,229,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,164,66,2,,229,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,155,170,0,,229,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,100,144,2,,229,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,63,128,0,,229,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,-3,128,2,108.75,229,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,33,150,2,,219,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,108,66,0,,219,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,120,130,1,,219,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,88,128,1,,219,720,720
BbXDFW,Squadron Tewei v11.69,Beclite,0.600,Phase Rifle,SC600,T10,S12,C150,125,68,128,2,,219,720,720
BbXDFW,Squadron Tewei v11.69,Nowei,0.395,Phase Rifle,SC300,T10,S4,C100,75,0,128,0,143.34,219,720,720
BbXDFW,Squadron Tewei v11.69,Tewei v11.69,0.683,Plasma Cannon,SC700,T20,S8,C150,125,19,190,3,,216,720,720
BbXDFW,Squadron Tewei v11.69,Cubos,0.672,Pulse Rifle,SC500,T20,S8,C200,200,107,63,0,,216,720,720
BbXDFW,Squadron Tewei v11.69,Vulea,0.672,Plasma Cannon,SC600,T10,S8,C200,200,94,150,1,,216,720,720
BbXDFW,Squadron Tewei v11.69,Hestea,0.622,Fusion Cannon,SC800,T12,S6,C150,125,5,176,2,,216,720,720
